Node,Betweenness,BridgingCoefficient,BridgingCentrality
635,0.0000105771,0.0000000000,0.0000000000
2992,0.0000065853,0.3000000000,0.0000019756
121,0.0000000000,0.0000000000,0.0000000000
2478,0.0000089561,0.2777777778,0.0000024878
3421,0.0000022694,0.2500000000,0.0000005674
1064,0.0000000000,0.0000000000,0.0000000000
1203,0.0000108810,0.3333333333,0.0000036270
1920,0.0000199991,0.6666666667,0.0000133328
1220,0.0000014184,0.0000000000,0.0000000000
3577,0.0000000000,0.0000000000,0.0000000000
