Node,Betweenness,BridgingCoefficient,BridgingCentrality
868,0.0001838796,0.2398544974,0.0000441044
927,0.0009402067,0.1392555549,0.0001309290
961,0.0002659404,0.1942766103,0.0000516660
735,0.0002309316,0.2511111111,0.0000579895
896,0.0005176590,0.2038876157,0.0001055442
903,0.0003563087,0.1078981593,0.0000384451
906,0.0004065218,0.2186563437,0.0000888886
941,0.0002929715,0.1591990981,0.0000466408
954,0.0001705415,0.1841246659,0.0000314009
956,0.0005284358,0.2393894170,0.0001265019
770,0.0003932671,0.1887973138,0.0000742478
870,0.0009469853,0.1898903545,0.0001798234
894,0.0011824102,0.2736184038,0.0003235292
747,0.0005086543,0.2381291625,0.0001211254
877,0.0003512830,0.1671703297,0.0000587241
696,0.0002621634,0.2491972118,0.0000653304
926,0.0002233498,0.1499923053,0.0000335007
844,0.0005689006,0.1103353002,0.0000627698
876,0.0001258512,0.1925872373,0.0000242373
921,0.0005890003,0.1752483993,0.0001032214
740,0.0001746817,0.1825152917,0.0000318821
909,0.0007035636,0.2056326623,0.0001446757
915,0.0002178651,0.2247108344,0.0000489567
928,0.0001676610,0.2498139881,0.0000418841
736,0.0012644347,0.3615506407,0.0004571572
772,0.0002450678,0.3172019919,0.0000777360
875,0.0006285805,0.1068066710,0.0000671366
888,0.0013560675,0.2843966452,0.0003856611
818,0.0003966192,0.1423687424,0.0000564662
863,0.0018118252,0.1856245345,0.0003363192
881,0.0003555038,0.2238311688,0.0000795728
761,0.0001916893,0.2553494125,0.0000489478
797,0.0003823963,0.2424799948,0.0000927235
834,0.0001724478,0.2300405477,0.0000396700
847,0.0003793148,0.2217543769,0.0000841147
893,0.0004030127,0.2187025276,0.0000881399
809,0.0002947725,0.2497252747,0.0000736121
841,0.0003330021,0.2349353777,0.0000782340
673,0.0001036974,0.2120370370,0.0000219877
816,0.0008890743,0.1551504229,0.0001379403
829,0.0007714987,0.1788804605,0.0001380060
824,0.0025521640,0.1673881781,0.0004272021
851,0.0008211936,0.1561446024,0.0001282250
857,0.0009756801,0.2120721639,0.0002069146
823,0.0006151849,0.0728548291,0.0000448192
872,0.0002471038,0.1290710678,0.0000318940
879,0.0010471706,0.1588026427,0.0001662935
835,0.0012723288,0.1091542485,0.0001388801
837,0.0009533456,0.1720076028,0.0001639827
792,0.0001022672,0.3341666667,0.0000341743
