Node,Betweenness,BridgingCoefficient,BridgingCentrality
4977,0.0002445247,0.2083333333,0.0000509427
4976,0.0015361362,0.2972222222,0.0004565738
341,0.0013212659,0.3333333333,0.0004404220
2393,0.0016433616,0.3888888889,0.0006390851
2394,0.0011089893,0.4166666667,0.0004620789
2792,0.0009755573,0.3888888889,0.0003793834
2794,0.0009161523,0.3333333333,0.0003053841
2880,0.0022650663,0.3055555556,0.0006921036
2881,0.0037151915,0.3333333333,0.0012383972
2882,0.0048515512,0.3055555556,0.0014824184
890,0.0037935281,0.4444444444,0.0016860125
4071,0.0010978096,0.3055555556,0.0003354418
4072,0.0015580051,0.3611111111,0.0005626130
4073,0.0022580371,0.2500000000,0.0005645093
2067,0.0026814549,0.3333333333,0.0008938183
3375,0.0020050041,0.4666666667,0.0009356686
4450,0.0007371897,0.3888888889,0.0002866849
4451,0.0021734545,0.3333333333,0.0007244848
4452,0.0022771300,0.3125000000,0.0007116031
3722,0.0052363285,0.3055555556,0.0015999893
1115,0.0020515764,0.4444444444,0.0009118117
1116,0.0036245231,0.4166666667,0.0015102180
1117,0.0031527455,0.3888888889,0.0012260677
8,0.0007874195,0.4444444444,0.0003499642
7,0.0002900614,0.5000000000,0.0001450307
105,0.0011824425,0.3888888889,0.0004598388
106,0.0017196159,0.4166666667,0.0007165066
744,0.0024534894,0.3333333333,0.0008178298
745,0.0035126047,0.3333333333,0.0011708682
746,0.0003524247,0.3333333333,0.0001174749
1867,0.0020158685,0.3333333333,0.0006719562
1868,0.0028152726,0.3333333333,0.0009384242
1869,0.0010943920,0.3333333333,0.0003647973
1844,0.0008659425,0.3333333333,0.0002886475
1845,0.0052449691,0.3333333333,0.0017483230
1846,0.0004072502,0.2888888889,0.0001176501
934,0.0036888716,0.3333333333,0.0012296239
935,0.0021747514,0.4444444444,0.0009665562
936,0.0004262997,0.4444444444,0.0001894665
451,0.0010682079,0.3055555556,0.0003263969
1480,0.0033706485,0.3888888889,0.0013108077
147,0.0038706706,0.5555555556,0.0021503725
148,0.0010214009,0.5555555556,0.0005674450
149,0.0012266004,0.5555555556,0.0006814447
4502,0.0030412709,0.3333333333,0.0010137570
4503,0.0010894267,0.3333333333,0.0003631422
4504,0.0013125239,0.3888888889,0.0005104259
1333,0.0059499118,0.3958333333,0.0023551734
573,0.0012773946,0.3333333333,0.0004257982
861,0.0010926847,0.3333333333,0.0003642282
862,0.0006458911,0.3333333333,0.0002152970
3420,0.0062481915,0.4166666667,0.0026034131
3421,0.0003644196,0.4000000000,0.0001457678
3422,0.0011845220,0.3500000000,0.0004145827
4366,0.0059589432,0.2916666667,0.0017380251
4367,0.0017662282,0.2500000000,0.0004415570
4368,0.0017142372,0.5000000000,0.0008571186
2108,0.0008452456,0.3125000000,0.0002641392
2496,0.0017420911,0.4166666667,0.0007258713
2497,0.0046827576,0.3611111111,0.0016909958
2498,0.0065640616,0.3611111111,0.0023703556
1181,0.0005482581,0.3333333333,0.0001827527
590,0.0018460204,0.3333333333,0.0006153401
591,0.0025962702,0.3333333333,0.0008654234
592,0.0022502747,0.3888888889,0.0008751068
2440,0.0004614602,0.3888888889,0.0001794567
2441,0.0008536077,0.3333333333,0.0002845359
2442,0.0034179915,0.3055555556,0.0010443863
2301,0.0021050069,0.3611111111,0.0007601414
2861,0.0015616953,0.3611111111,0.0005639455
2862,0.0037409671,0.3055555556,0.0011430733
2863,0.0013924725,0.3333333333,0.0004641575
3718,0.0018859969,0.3611111111,0.0006810544
3719,0.0032638234,0.3611111111,0.0011786029
3720,0.0023245551,0.3750000000,0.0008717081
4169,0.0014611902,0.2916666667,0.0004261805
4972,0.0011384266,0.3611111111,0.0004110985
4973,0.0006997434,0.3611111111,0.0002526851
4974,0.0002731215,0.4166666667,0.0001138006
2800,0.0010784080,0.3750000000,0.0004044030
2904,0.0012876628,0.3666666667,0.0004721430
4613,0.0014016764,0.4166666667,0.0005840318
338,0.0011158533,0.3888888889,0.0004339430
339,0.0012921962,0.3888888889,0.0005025207
340,0.0022539133,0.3888888889,0.0008765218
2390,0.0023087325,0.3888888889,0.0008978404
2391,0.0011044433,0.3333333333,0.0003681478
2392,0.0021415767,0.3888888889,0.0008328354
2789,0.0022283572,0.3055555556,0.0006808869
2790,0.0040012727,0.3333333333,0.0013337576
2791,0.0016013009,0.3611111111,0.0005782475
2877,0.0010629850,0.3888888889,0.0004133830
2878,0.0023358320,0.3888888889,0.0009083791
2879,0.0057738786,0.3333333333,0.0019246262
535,0.0008638716,0.3888888889,0.0003359501
887,0.0040108929,0.3055555556,0.0012255506
888,0.0016723845,0.3333333333,0.0005574615
889,0.0009098776,0.2916666667,0.0002653810
4068,0.0010240673,0.3611111111,0.0003698021
4069,0.0006385868,0.3055555556,0.0001951237
4070,0.0019808761,0.3125000000,0.0006190238
1140,0.0017656641,0.3333333333,0.0005885547
3215,0.0000949032,0.3333333333,0.0000316344
3686,0.0026332206,0.3333333333,0.0008777402
818,0.0015453852,0.3888888889,0.0006009831
2064,0.0030847853,0.3888888889,0.0011996387
2066,0.0031986374,0.4444444444,0.0014216166
918,0.0005667444,0.3333333333,0.0001889148
3372,0.0002960116,0.3333333333,0.0000986705
3373,0.0027941110,0.6111111111,0.0017075123
3374,0.0042282969,0.4666666667,0.0019732052
4447,0.0011115042,0.2916666667,0.0003241887
4448,0.0016823280,0.3333333333,0.0005607760
4449,0.0024949992,0.3611111111,0.0009009719
1861,0.0006764820,0.3750000000,0.0002536808
1112,0.0009600443,0.2916666667,0.0002800129
1113,0.0019094098,0.4166666667,0.0007955874
1114,0.0056560726,0.4166666667,0.0023566969
5,0.0003150114,0.7500000000,0.0002362586
6,0.0001941266,0.5000000000,0.0000970633
4,0.0001010592,0.7500000000,0.0000757944
102,0.0007716888,0.3333333333,0.0002572296
103,0.0018423430,0.3333333333,0.0006141143
104,0.0002663474,0.3333333333,0.0000887825
741,0.0020560123,0.3333333333,0.0006853374
742,0.0031832297,0.3333333333,0.0010610766
743,0.0013807936,0.3333333333,0.0004602645
1864,0.0013434835,0.3888888889,0.0005224658
1865,0.0034244565,0.3888888889,0.0013317331
1866,0.0009759192,0.3888888889,0.0003795241
1841,0.0007659368,0.5000000000,0.0003829684
1842,0.0017227637,0.4444444444,0.0007656727
1843,0.0001795730,0.3888888889,0.0000698340
533,0.0013904772,0.3333333333,0.0004634924
1820,0.0068254760,0.3888888889,0.0026543518
931,0.0034416732,0.3333333333,0.0011472244
932,0.0026088413,0.3333333333,0.0008696138
933,0.0004740106,0.3333333333,0.0001580035
448,0.0011150854,0.3333333333,0.0003716951
449,0.0012228214,0.3055555556,0.0003736399
450,0.0014169224,0.3055555556,0.0004329485
1477,0.0031579555,0.3333333333,0.0010526518
1478,0.0032643652,0.3333333333,0.0010881217
1479,0.0007375376,0.3333333333,0.0002458459
144,0.0038641791,0.3611111111,0.0013953980
145,0.0012790421,0.3888888889,0.0004974053
146,0.0004780539,0.3333333333,0.0001593513
4499,0.0028875492,0.2777777778,0.0008020970
4500,0.0009561865,0.3611111111,0.0003452896
4501,0.0021514892,0.3055555556,0.0006573995
1170,0.0042854782,0.3333333333,0.0014284927
1330,0.0022132939,0.3055555556,0.0006762842
1331,0.0007973441,0.3750000000,0.0002990040
1332,0.0031158442,0.2916666667,0.0009087879
570,0.0015407390,0.3333333333,0.0005135797
571,0.0008688936,0.3333333333,0.0002896312
572,0.0012327617,0.3333333333,0.0004109206
858,0.0009452454,0.3888888889,0.0003675955
859,0.0004683128,0.3333333333,0.0001561043
860,0.0022464091,0.3333333333,0.0007488030
350,0.0010009691,0.3333333333,0.0003336564
2259,0.0006432564,0.2916666667,0.0001876164
3417,0.0053439701,0.2777777778,0.0014844361
3418,0.0014492111,0.3125000000,0.0004528785
3419,0.0007295688,0.2916666667,0.0002127909
371,0.0008645113,0.3333333333,0.0002881704
668,0.0020553208,0.3333333333,0.0006851069
4363,0.0049265314,0.3888888889,0.0019158733
4364,0.0027169052,0.3541666667,0.0009622373
4365,0.0031523774,0.3541666667,0.0011164670
779,0.0023808841,0.3611111111,0.0008597637
2105,0.0007014899,0.3333333333,0.0002338300
2106,0.0006588700,0.3333333333,0.0002196233
2107,0.0039722258,0.3055555556,0.0012137357
2493,0.0011296557,0.3750000000,0.0004236209
2494,0.0041587735,0.3611111111,0.0015017793
2495,0.0073374534,0.3541666667,0.0025986814
1179,0.0013277888,0.3888888889,0.0005163623
1180,0.0024572097,0.3888888889,0.0009555816
587,0.0014896328,0.3888888889,0.0005793016
588,0.0015838361,0.3333333333,0.0005279454
589,0.0003462913,0.3333333333,0.0001154304
537,0.0021695066,0.3888888889,0.0008436970
517,0.0019976081,0.3333333333,0.0006658694
2437,0.0002956496,0.3333333333,0.0000985499
2438,0.0005261540,0.3611111111,0.0001900001
2439,0.0036582553,0.3611111111,0.0013210366
516,0.0017037803,0.3333333333,0.0005679268
2298,0.0005215663,0.3333333333,0.0001738554
2299,0.0032577626,0.4166666667,0.0013574011
2300,0.0010232729,0.3611111111,0.0003695152
2858,0.0011250358,0.4166666667,0.0004687649
2859,0.0030879376,0.4444444444,0.0013724167
2860,0.0010588995,0.4166666667,0.0004412081
3715,0.0025138095,0.3166666667,0.0007960397
3716,0.0025023314,0.3541666667,0.0008862424
3717,0.0015435715,0.2916666667,0.0004502084
3127,0.0038793069,0.5000000000,0.0019396534
1389,0.0008853415,0.3333333333,0.0002951138
4166,0.0009183260,0.3611111111,0.0003316177
4167,0.0026999957,0.3541666667,0.0009562485
4168,0.0011671723,0.3541666667,0.0004133735
4782,0.0055136786,0.2611111111,0.0014396828
4969,0.0005462442,0.3541666667,0.0001934615
4971,0.0001261017,0.2916666667,0.0000367797
4361,0.0024432422,0.3055555556,0.0007465462
4970,0.0003163969,0.3541666667,0.0001120572
1804,0.0022365635,0.2916666667,0.0006523310
3031,0.0002703634,0.2777777778,0.0000751010
143,0.0003997150,0.3333333333,0.0001332383
