Dataset,Vertices,Edges,MaxKatz,Runtime_sec,Memory_MB,AvgDegree,Density,Alpha
er_1000_sparse,1000,2457,1.000000,0.001000,0.05,4.9140,4.918919e-03,0.140663
er_100_dense,100,975,1.000000,0.000000,0.01,19.5000,1.969697e-01,0.041793
er_100_sparse,100,226,1.000000,0.000000,0.00,4.5200,4.565657e-02,0.150482
er_10k_dense,10000,49906,1.000000,0.036000,0.69,9.9812,9.982198e-04,0.076955
er_10k_sparse,10000,25268,1.000000,0.032000,0.50,5.0536,5.054105e-04,0.135699
er_500_dense,500,6063,1.000000,0.006000,0.06,24.2520,4.860120e-02,0.033746
er_500_sparse,500,1253,1.000000,0.002000,0.02,5.0120,1.004409e-02,0.137239
er_5k_dense,5000,37339,1.000000,0.062000,0.44,14.9356,2.987718e-03,0.053151
er_5k_sparse,5000,12383,1.000000,0.034000,0.25,4.9532,9.908382e-04,0.138267
ba_1k_m3,1000,2991,1.000000,0.004000,0.05,5.9820,5.987988e-03,0.059868
ba_1k_m5,1000,4975,1.000000,0.011000,0.07,9.9500,9.959960e-03,0.040997
ws_1k_k10_p03,1000,5000,1.000000,0.004000,0.07,10.0000,1.001001e-02,0.082656
ws_1k_k6_p01,1000,3000,1.000000,0.008000,0.05,6.0000,6.006006e-03,0.137942
er_5k_dense,5000,37339,1.000000,0.052000,0.44,14.9356,2.987718e-03,0.053151
er_5k_sparse,5000,12383,1.000000,0.040000,0.25,4.9532,9.908382e-04,0.138267
er_10k_dense,10000,49906,1.000000,0.037000,0.69,9.9812,9.982198e-04,0.076955
er_10k_sparse,10000,25268,1.000000,0.036000,0.50,5.0536,5.054105e-04,0.135699
ba_5k_m3,5000,14991,1.000000,0.032000,0.27,5.9964,1.199520e-03,0.047142
ba_5k_m5,5000,24975,1.000000,0.046000,0.34,9.9900,1.998400e-03,0.032909
ba_10k_m3,10000,29991,1.000000,0.124000,0.53,5.9982,5.998800e-04,0.039621
ws_5k_k6_p01,5000,15000,1.000000,0.067000,0.27,6.0000,1.200240e-03,0.138041
cit-DBLP,12592,49621,1.000000,0.055000,0.76,7.8814,6.259513e-04,0.019851
cit-HepTh,27769,352285,1.000000,0.488000,3.54,25.3725,9.137330e-04,0.007640
citeseer,3264,4536,1.000000,0.018000,0.13,2.7794,8.517964e-04,0.061844
cora,2708,5278,1.000000,0.019000,0.12,3.8981,1.440000e-03,0.059065
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,0.141667
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,0.425000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,0.166108
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,0.495833
verify_star_9,9,8,-nan,0.001000,0.00,1.7778,2.222222e-01,0.478125
er_1000_dense,1000,9981,1.000000,0.009000,0.11,19.9620,1.998198e-02,0.040499
er_1000_sparse,1000,2516,1.000000,0.003000,0.05,5.0320,5.037037e-03,0.136596
er_100_dense,100,1038,1.000000,0.000000,0.01,20.7600,2.096970e-01,0.039613
er_100_sparse,100,236,1.000000,0.000000,0.00,4.7200,4.767677e-02,0.147959
er_10k_dense,10000,49791,1.000000,0.078000,0.69,9.9582,9.959196e-04,0.076807
er_10k_sparse,10000,25140,1.000000,0.066000,0.50,5.0280,5.028503e-04,0.135800
er_500_dense,500,6190,1.000000,0.005000,0.06,24.7600,4.961924e-02,0.033068
er_500_sparse,500,1338,1.000000,0.001000,0.03,5.3520,1.072545e-02,0.131195
er_5k_dense,5000,37244,1.000000,0.057000,0.44,14.8976,2.980116e-03,0.053187
er_5k_sparse,5000,12675,1.000000,0.041000,0.25,5.0700,1.014203e-03,0.134908
ba_1k_m3,1000,2991,1.000000,0.005000,0.05,5.9820,5.987988e-03,0.058438
ba_1k_m5,1000,4975,1.000000,0.007000,0.07,9.9500,9.959960e-03,0.043947
ws_1k_k10_p03,1000,5000,1.000000,0.010000,0.07,10.0000,1.001001e-02,0.082648
ws_1k_k6_p01,1000,3000,1.000000,0.013000,0.05,6.0000,6.006006e-03,0.138113
er_5k_dense,5000,37244,1.000000,0.042000,0.44,14.8976,2.980116e-03,0.053187
er_5k_sparse,5000,12675,1.000000,0.028000,0.25,5.0700,1.014203e-03,0.134908
er_10k_dense,10000,49791,1.000000,0.072000,0.69,9.9582,9.959196e-04,0.076807
er_10k_sparse,10000,25140,1.000000,0.060000,0.50,5.0280,5.028503e-04,0.135800
ba_5k_m3,5000,14991,1.000000,0.027000,0.27,5.9964,1.199520e-03,0.051902
ba_5k_m5,5000,24975,1.000000,0.029000,0.34,9.9900,1.998400e-03,0.033078
ba_10k_m3,10000,29991,1.000000,0.078000,0.53,5.9982,5.998800e-04,0.039415
ws_5k_k6_p01,5000,15000,1.000000,0.056000,0.27,6.0000,1.200240e-03,0.138271
cit-DBLP,12592,49621,1.000000,0.090000,0.76,7.8814,6.259513e-04,0.019851
cit-HepTh,27769,352285,1.000000,0.417000,3.54,25.3725,9.137330e-04,0.007640
citeseer,3264,4536,1.000000,0.011000,0.13,2.7794,8.517964e-04,0.061844
cora,2708,5278,1.000000,0.012000,0.12,3.8981,1.440000e-03,0.059065
verify_complete_7,7,21,1.000000,0.000000,0.00,6.0000,1.000000e+00,0.141667
verify_cycle_6,6,6,1.000000,0.000000,0.00,2.0000,4.000000e-01,0.425000
verify_known_structure,20,35,1.000000,0.000000,0.00,3.5000,1.842105e-01,0.166108
verify_path_5,5,4,1.000000,0.000000,0.00,1.6000,4.000000e-01,0.495833
verify_star_9,9,8,-nan,0.001000,0.00,1.7778,2.222222e-01,0.478125
er_1000_dense,1000,10019,1.000000,0.011000,0.11,20.0380,2.005806e-02,0.040449
er_1000_sparse,1000,2501,1.000000,0.006000,0.05,5.0020,5.007007e-03,0.136936
er_100_dense,100,992,1.000000,0.000000,0.01,19.8400,2.004040e-01,0.041623
er_100_sparse,100,233,1.000000,0.000000,0.00,4.6600,4.707071e-02,0.145233
er_10k_dense,10000,49948,1.000000,0.086000,0.69,9.9896,9.990599e-04,0.076746
er_10k_sparse,10000,24717,1.000000,0.105000,0.49,4.9434,4.943894e-04,0.138850
er_500_dense,500,6207,1.000000,0.006000,0.06,24.8280,4.975551e-02,0.032782
er_500_sparse,500,1248,1.000000,0.002000,0.02,4.9920,1.000401e-02,0.139783
er_5k_dense,5000,37087,1.000000,0.065000,0.44,14.8348,2.967554e-03,0.053350
er_5k_sparse,5000,12677,1.000000,0.051000,0.25,5.0708,1.014363e-03,0.136640
ba_1k_m3,1000,2991,1.000000,0.007000,0.05,5.9820,5.987988e-03,0.060381
ba_1k_m5,1000,4975,1.000000,0.006000,0.07,9.9500,9.959960e-03,0.041845
ws_1k_k10_p03,1000,5000,1.000000,0.008000,0.07,10.0000,1.001001e-02,0.082695
ws_1k_k6_p01,1000,3000,1.000000,0.010000,0.05,6.0000,6.006006e-03,0.137595
er_5k_dense,5000,37087,1.000000,0.061000,0.44,14.8348,2.967554e-03,0.053350
er_5k_sparse,5000,12677,1.000000,0.050000,0.25,5.0708,1.014363e-03,0.136640
er_10k_dense,10000,49948,1.000000,0.105000,0.69,9.9896,9.990599e-04,0.076746
er_10k_sparse,10000,24717,1.000000,0.079000,0.49,4.9434,4.943894e-04,0.138850
ba_5k_m3,5000,14991,1.000000,0.040000,0.27,5.9964,1.199520e-03,0.048453
ba_5k_m5,5000,24975,1.000000,0.047000,0.34,9.9900,1.998400e-03,0.034005
ba_10k_m3,10000,29991,1.000000,0.098000,0.53,5.9982,5.998800e-04,0.040456
ws_5k_k6_p01,5000,15000,1.000000,0.087000,0.27,6.0000,1.200240e-03,0.138252
cit-DBLP,12592,49621,1.000000,0.127000,0.76,7.8814,6.259513e-04,0.019851
cit-HepTh,27769,352285,1.000000,0.562000,3.54,25.3725,9.137330e-04,0.007640
citeseer,3264,4536,1.000000,0.018000,0.13,2.7794,8.517964e-04,0.061844
cora,2708,5278,1.000000,0.018000,0.12,3.8981,1.440000e-03,0.059065
