Node_ID	Betweenness_Centrality	Rank
5933	128407.023438	404
404	127998.023438	405
223	127988.453125	406
4836	126656.257812	407
552	126194.796875	408
11651	125529.820312	409
7697	125246.835938	410
2029	125173.718750	411
1569	124716.742188	412
3700	124035.390625	413
5861	123776.632812	414
2719	123775.351562	415
1941	123619.773438	416
884	123551.265625	417
2748	123342.390625	418
696	123005.640625	419
11505	122772.085938	420
7620	122406.960938	421
822	122004.796875	422
461	121637.585938	423
1187	121414.664062	424
457	121335.195312	425
2159	120935.156250	426
12303	119917.226562	427
1162	119914.695312	428
7095	119838.117188	429
1031	119807.585938	430
57	119337.257812	431
1219	119233.601562	432
4678	118985.992188	433
9326	118818.484375	434
1500	118311.929688	435
1575	118099.484375	436
3456	118009.218750	437
6295	117875.476562	438
2275	117229.203125	439
6993	116695.445312	440
11581	116625.875000	441
6862	116271.031250	442
98	115869.804688	443
4859	115865.937500	444
1191	115581.843750	445
1973	115488.000000	446
7181	115175.234375	447
3111	115062.773438	448
3253	114916.726562	449
15	114350.460938	450
9572	114317.609375	451
575	114295.320312	452
1626	114213.898438	453
197	113994.148438	454
764	113768.781250	455
2397	113687.835938	456
5472	113510.312500	457
494	113449.968750	458
9978	113335.898438	459
83	113026.085938	460
9933	113022.953125	461
648	112605.851562	462
5788	112443.046875	463
11136	112131.546875	464
7247	112086.234375	465
11016	112077.492188	466
4098	111845.656250	467
69	111809.234375	468
2565	111645.093750	469
1719	111256.281250	470
4133	110827.312500	471
7482	110573.929688	472
4789	110392.140625	473
774	110102.273438	474
1832	110093.023438	475
5498	109929.359375	476
1383	109860.273438	477
3644	108830.906250	478
8637	108781.437500	479
2625	108632.320312	480
6174	108447.257812	481
1350	108388.851562	482
11093	108265.070312	483
7643	108027.742188	484
11781	108022.859375	485
45	107995.500000	486
7384	107832.531250	487
172	107315.882812	488
8081	107284.773438	489
11609	107185.414062	490
11867	106852.687500	491
7877	106614.140625	492
7197	106610.531250	493
4705	106539.070312	494
391	106381.367188	495
6319	106316.695312	496
7072	105679.625000	497
543	105650.093750	498
2081	105278.757812	499
1622	104627.617188	500
485	104457.265625	501
486	104371.296875	502
871	103618.101562	503
477	102822.757812	504
216	102125.992188	505
488	101777.984375	506
2061	101746.835938	507
2072	101387.515625	508
11285	101377.710938	509
8800	101302.875000	510
975	100869.054688	511
6299	100637.890625	512
1897	100481.031250	513
345	99811.125000	514
11435	98955.843750	515
1270	98940.320312	516
3892	98745.906250	517
3298	98020.171875	518
2255	97993.210938	519
8847	97741.375000	520
8942	97524.468750	521
897	97488.632812	522
8806	97462.210938	523
11106	97366.523438	524
2295	97037.109375	525
210	96928.828125	526
5049	96805.562500	527
2086	96343.835938	528
1906	95805.562500	529
11118	95766.351562	530
2713	95628.718750	531
473	94913.335938	532
6832	94787.695312	533
244	94693.062500	534
974	94572.007812	535
11072	94554.617188	536
3310	94423.085938	537
393	94026.765625	538
1818	94017.796875	539
219	93774.062500	540
2887	93627.031250	541
3438	93433.148438	542
2267	93127.968750	543
5404	93116.375000	544
3458	92856.781250	545
394	92475.781250	546
521	92418.609375	547
1774	92344.695312	548
5823	91742.281250	549
2196	91574.335938	550
8929	91395.375000	551
4176	91374.960938	552
3448	91328.070312	553
11450	91298.382812	554
526	91278.828125	555
9410	91035.656250	556
9840	90752.804688	557
3380	90564.164062	558
4033	90515.867188	559
9746	90254.343750	560
6688	89715.359375	561
1922	89669.679688	562
482	89078.382812	563
1648	88874.031250	564
636	88686.656250	565
1650	88665.140625	566
1277	88170.484375	567
195	88162.804688	568
9226	88157.554688	569
10995	88130.085938	570
11682	87744.476562	571
1855	87614.679688	572
2103	87494.960938	573
1150	87060.054688	574
7715	87049.421875	575
3333	86734.406250	576
2354	86578.476562	577
450	86114.281250	578
5150	86060.054688	579
1555	85933.882812	580
12070	85792.015625	581
1364	85392.234375	582
2281	85271.867188	583
297	85172.039062	584
4471	85055.601562	585
3761	84710.109375	586
75	84681.773438	587
1462	84650.835938	588
4995	84203.593750	589
1919	84091.234375	590
528	83916.859375	591
1390	83912.929688	592
4220	83890.234375	593
8298	83603.187500	594
3244	83491.968750	595
753	83484.007812	596
5034	83051.632812	597
637	82997.843750	598
1286	82923.328125	599
7589	82906.562500	600
2533	82879.484375	601
1152	82632.781250	602
603	82424.046875	603
6385	82227.117188	604
3715	82139.726562	605
1684	82079.601562	606
8781	81929.210938	607
11753	81625.929688	608
149	81442.812500	609
273	81304.937500	610
11873	81118.023438	611
6882	80870.835938	612
2570	80763.523438	613
1030	80589.875000	614
3839	80413.484375	615
4986	80304.781250	616
6545	79923.976562	617
3133	79914.578125	618
73	79913.953125	619
12107	79909.695312	620
4356	79894.484375	621
2051	79564.601562	622
1405	79198.835938	623
1284	78767.875000	624
2545	78686.195312	625
3502	78563.382812	626
3343	78480.531250	627
9345	78220.500000	628
670	78037.531250	629
752	77810.773438	630
3151	77653.445312	631
1857	77520.000000	632
471	77400.804688	633
2160	77032.468750	634
1862	76761.921875	635
63	76758.609375	636
2736	76748.257812	637
8845	76747.476562	638
11575	76700.976562	639
9535	76526.773438	640
690	76502.539062	641
3127	76294.898438	642
1964	75855.328125	643
8541	75655.140625	644
2030	75371.804688	645
7825	75028.914062	646
122	74996.843750	647
4410	74977.625000	648
10949	74714.015625	649
1250	74548.476562	650
918	74534.687500	651
7595	74479.750000	652
2476	74189.718750	653
9980	74161.250000	654
1671	74058.015625	655
423	73857.109375	656
2577	73649.679688	657
2580	73583.859375	658
331	73499.320312	659
72	73314.726562	660
10272	73285.320312	661
8002	73253.703125	662
1394	73196.523438	663
11647	73083.179688	664
1301	73081.234375	665
1968	72895.781250	666
4505	72764.859375	667
623	72725.343750	668
6954	72677.203125	669
5016	72580.585938	670
6659	72497.343750	671
5592	72370.804688	672
1096	72236.640625	673
1561	72156.609375	674
343	72117.757812	675
11317	71952.859375	676
5269	71887.562500	677
7036	71824.609375	678
11801	71664.671875	679
7941	71601.156250	680
767	71537.328125	681
275	71358.054688	682
2919	71278.945312	683
2445	70997.929688	684
10432	70755.515625	685
9584	70703.992188	686
3038	70664.656250	687
3819	70450.968750	688
1868	70387.109375	689
11233	70258.617188	690
7025	70034.296875	691
2013	69975.828125	692
5225	69876.335938	693
207	69719.132812	694
2394	69674.695312	695
1618	69619.335938	696
4082	69537.765625	697
1660	69437.445312	698
3698	69413.046875	699
11621	69397.062500	700
1213	69324.171875	701
202	69174.554688	702
2175	69092.539062	703
1248	69051.234375	704
678	69030.187500	705
2124	68837.187500	706
2895	68830.117188	707
