Dataset,Vertices,Edges,MaxBC,Runtime_sec,Memory_MB,AvgDegree,Density,Samples
er_10k_sparse,10000,24695,192931.526452,0.889000,0.49,4.9390,4.939494e-04,1000
er_500_dense,500,6318,753.082288,0.033000,0.06,25.2720,5.064529e-02,426
er_500_sparse,500,1222,4329.433319,0.015000,0.02,4.8880,9.795591e-03,426
er_5k_dense,5000,37326,29251.069299,0.406000,0.44,14.9304,2.986677e-03,541
er_5k_sparse,5000,12510,83032.146663,0.234000,0.25,5.0040,1.001000e-03,541
ba_1k_m3,1000,2991,88342.983700,0.038000,0.05,5.9820,5.987988e-03,461
ba_1k_m5,1000,4975,64410.624262,0.045000,0.07,9.9500,9.959960e-03,461
ws_1k_k10_p03,1000,5000,4035.733754,0.051000,0.07,10.0000,1.001001e-02,461
ws_1k_k6_p01,1000,3000,21179.597687,0.035000,0.05,6.0000,6.006006e-03,461
er_5k_dense,5000,37326,29251.069299,0.402000,0.44,14.9304,2.986677e-03,541
er_5k_sparse,5000,12510,83032.146663,0.225000,0.25,5.0040,1.001000e-03,541
er_10k_dense,10000,50275,92645.172442,1.317000,0.69,10.0550,1.005601e-03,1000
er_10k_sparse,10000,24695,192931.526452,0.883000,0.49,4.9390,4.939494e-04,1000
ba_5k_m3,5000,14991,1721976.808800,0.236000,0.27,5.9964,1.199520e-03,541
ba_5k_m5,5000,24975,1031314.116008,0.309000,0.34,9.9900,1.998400e-03,541
ba_10k_m3,10000,29991,11455114.153798,0.935000,0.53,5.9982,5.998800e-04,1000
ws_5k_k6_p01,5000,15000,147538.905200,0.216000,0.27,6.0000,1.200240e-03,541
cit-DBLP,12592,49621,11319933.064126,1.559000,0.76,7.8814,6.259513e-04,1259
cit-HepTh,27769,352285,31834191.675042,17.479000,3.54,25.3725,9.137330e-04,2776
citeseer,3264,4536,398888.902225,0.052000,0.13,2.7794,8.517964e-04,520
cora,2708,5278,844067.538325,0.087000,0.12,3.8981,1.440000e-03,511
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00,7
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01,6
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01,20
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01,5
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01,9
er_1000_dense,1000,10079,2522.985710,0.096000,0.11,20.1580,2.017818e-02,461
er_1000_sparse,1000,2457,12015.844138,0.115000,0.05,4.9140,4.918919e-03,461
er_100_dense,100,975,96.730919,0.003000,0.01,19.5000,1.969697e-01,100
er_100_sparse,100,226,514.882334,0.002000,0.00,4.5200,4.565657e-02,100
er_10k_dense,10000,49906,88991.425911,1.758000,0.69,9.9812,9.982198e-04,1000
er_10k_sparse,10000,25268,233256.096789,1.404000,0.50,5.0536,5.054105e-04,1000
er_500_dense,500,6063,888.506873,0.131000,0.06,24.2520,4.860120e-02,426
er_500_sparse,500,1253,4275.705635,0.067000,0.02,5.0120,1.004409e-02,426
er_5k_dense,5000,37339,29502.985978,0.702000,0.44,14.9356,2.987718e-03,541
er_5k_sparse,5000,12383,95291.080254,0.341000,0.25,4.9532,9.908382e-04,541
ba_1k_m3,1000,2991,84461.004822,0.116000,0.05,5.9820,5.987988e-03,461
ba_1k_m5,1000,4975,57689.214831,0.080000,0.07,9.9500,9.959960e-03,461
ws_1k_k10_p03,1000,5000,4520.231268,0.054000,0.07,10.0000,1.001001e-02,461
ws_1k_k6_p01,1000,3000,18379.075777,0.093000,0.05,6.0000,6.006006e-03,461
er_5k_dense,5000,37339,29502.985978,0.522000,0.44,14.9356,2.987718e-03,541
er_5k_sparse,5000,12383,95291.080254,0.393000,0.25,4.9532,9.908382e-04,541
er_10k_dense,10000,49906,88991.425911,1.561000,0.69,9.9812,9.982198e-04,1000
er_10k_sparse,10000,25268,233256.096789,1.174000,0.50,5.0536,5.054105e-04,1000
ba_5k_m3,5000,14991,1809617.963538,0.391000,0.27,5.9964,1.199520e-03,541
ba_5k_m5,5000,24975,1496423.956563,0.447000,0.34,9.9900,1.998400e-03,541
ba_10k_m3,10000,29991,8290457.582356,1.992000,0.53,5.9982,5.998800e-04,1000
ws_5k_k6_p01,5000,15000,168683.144473,0.417000,0.27,6.0000,1.200240e-03,541
cit-DBLP,12592,49621,11319933.064126,2.227000,0.76,7.8814,6.259513e-04,1259
cit-HepTh,27769,352285,31834191.675042,29.440000,3.54,25.3725,9.137330e-04,2776
citeseer,3264,4536,398888.902225,0.147000,0.13,2.7794,8.517964e-04,520
cora,2708,5278,844067.538325,0.120000,0.12,3.8981,1.440000e-03,511
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00,7
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01,6
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01,20
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01,5
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01,9
er_1000_dense,1000,9981,2271.153764,0.120000,0.11,19.9620,1.998198e-02,461
er_1000_sparse,1000,2516,9830.350141,0.131000,0.05,5.0320,5.037037e-03,461
er_100_dense,100,1038,87.471301,0.004000,0.01,20.7600,2.096970e-01,100
er_100_sparse,100,236,446.108621,0.003000,0.00,4.7200,4.767677e-02,100
er_10k_dense,10000,49791,100088.595354,1.546000,0.69,9.9582,9.959196e-04,1000
er_10k_sparse,10000,25140,239721.578410,1.146000,0.50,5.0280,5.028503e-04,1000
er_500_dense,500,6190,747.339818,0.086000,0.06,24.7600,4.961924e-02,426
er_500_sparse,500,1338,3428.723407,0.048000,0.03,5.3520,1.072545e-02,426
er_5k_dense,5000,37244,31544.148255,0.602000,0.44,14.8976,2.980116e-03,541
er_5k_sparse,5000,12675,73580.717669,0.414000,0.25,5.0700,1.014203e-03,541
ba_1k_m3,1000,2991,94325.587577,0.076000,0.05,5.9820,5.987988e-03,461
ba_1k_m5,1000,4975,37289.406236,0.171000,0.07,9.9500,9.959960e-03,461
ws_1k_k10_p03,1000,5000,4196.312879,0.130000,0.07,10.0000,1.001001e-02,461
ws_1k_k6_p01,1000,3000,15319.236905,0.120000,0.05,6.0000,6.006006e-03,461
er_5k_dense,5000,37244,31544.148255,0.858000,0.44,14.8976,2.980116e-03,541
er_5k_sparse,5000,12675,73580.717669,0.294000,0.25,5.0700,1.014203e-03,541
er_10k_dense,10000,49791,100088.595354,2.113000,0.69,9.9582,9.959196e-04,1000
er_10k_sparse,10000,25140,239721.578410,1.373000,0.50,5.0280,5.028503e-04,1000
ba_5k_m3,5000,14991,1142327.555973,0.311000,0.27,5.9964,1.199520e-03,541
ba_5k_m5,5000,24975,1193431.577151,0.861000,0.34,9.9900,1.998400e-03,541
ba_10k_m3,10000,29991,6623547.678601,2.191000,0.53,5.9982,5.998800e-04,1000
ws_5k_k6_p01,5000,15000,197923.556992,0.493000,0.27,6.0000,1.200240e-03,541
cit-DBLP,12592,49621,11319933.064126,2.660000,0.76,7.8814,6.259513e-04,1259
cit-HepTh,27769,352285,31834191.675042,25.819000,3.54,25.3725,9.137330e-04,2776
citeseer,3264,4536,398888.902225,0.074000,0.13,2.7794,8.517964e-04,520
cora,2708,5278,844067.538325,0.120000,0.12,3.8981,1.440000e-03,511
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00,7
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01,6
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01,20
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01,5
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01,9
er_1000_dense,1000,9832,2679.625404,0.138000,0.11,19.6640,1.968368e-02,461
er_1000_sparse,1000,2472,11154.152019,0.069000,0.05,4.9440,4.948949e-03,461
er_100_dense,100,1002,93.994539,0.003000,0.01,20.0400,2.024242e-01,100
er_100_sparse,100,226,430.460415,0.002000,0.00,4.5200,4.565657e-02,100
er_10k_dense,10000,49920,116328.905038,1.450000,0.69,9.9840,9.984998e-04,1000
er_10k_sparse,10000,25099,210366.594740,0.966000,0.50,5.0198,5.020302e-04,1000
er_500_dense,500,6179,760.224760,0.108000,0.06,24.7160,4.953106e-02,426
er_500_sparse,500,1303,4712.775332,0.065000,0.03,5.2120,1.044489e-02,426
er_5k_dense,5000,37324,29328.400123,0.542000,0.44,14.9296,2.986517e-03,541
er_5k_sparse,5000,12575,127644.359543,0.345000,0.25,5.0300,1.006201e-03,541
ba_1k_m3,1000,2991,70547.569394,0.107000,0.05,5.9820,5.987988e-03,461
ba_1k_m5,1000,4975,38750.309540,0.121000,0.07,9.9500,9.959960e-03,461
ws_1k_k10_p03,1000,5000,4420.308892,0.133000,0.07,10.0000,1.001001e-02,461
ws_1k_k6_p01,1000,3000,17950.528073,0.047000,0.05,6.0000,6.006006e-03,461
er_5k_dense,5000,37324,29328.400123,0.515000,0.44,14.9296,2.986517e-03,541
er_5k_sparse,5000,12575,127644.359543,0.333000,0.25,5.0300,1.006201e-03,541
er_10k_dense,10000,49920,116328.905038,1.573000,0.69,9.9840,9.984998e-04,1000
er_10k_sparse,10000,25099,210366.594740,1.250000,0.50,5.0198,5.020302e-04,1000
ba_5k_m3,5000,14991,1855459.318841,0.336000,0.27,5.9964,1.199520e-03,541
ba_5k_m5,5000,24975,1076954.899922,0.419000,0.34,9.9900,1.998400e-03,541
ba_10k_m3,10000,29991,6337376.089860,1.022000,0.53,5.9982,5.998800e-04,1000
ws_5k_k6_p01,5000,15000,191879.928712,0.314000,0.27,6.0000,1.200240e-03,541
cit-DBLP,12592,49621,11319933.064126,1.774000,0.76,7.8814,6.259513e-04,1259
