Dataset,Vertices,Edges,MaxBC,Runtime_sec,Memory_MB,AvgDegree,Density
er_5k_sparse,5000,12510,71171.770457,2.076000,0.25,5.0040,1.001000e-03
ba_1k_m3,1000,2991,88189.670767,0.079000,0.05,5.9820,5.987988e-03
ba_1k_m5,1000,4975,64533.304956,0.096000,0.07,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,3783.900178,0.103000,0.07,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,19430.254470,0.074000,0.05,6.0000,6.006006e-03
er_5k_dense,5000,37326,24293.803013,3.756000,0.44,14.9304,2.986677e-03
er_5k_sparse,5000,12510,71171.770457,2.067000,0.25,5.0040,1.001000e-03
er_10k_dense,10000,50275,82549.341489,12.941000,0.69,10.0550,1.005601e-03
er_10k_sparse,10000,24695,183710.980608,8.943000,0.49,4.9390,4.939494e-04
ba_5k_m3,5000,14991,1713803.100836,2.182000,0.27,5.9964,1.199520e-03
ba_5k_m5,5000,24975,978619.338784,2.763000,0.34,9.9900,1.998400e-03
ba_10k_m3,10000,29991,11401994.125226,9.338000,0.53,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,145010.166421,1.989000,0.27,6.0000,1.200240e-03
cit-DBLP,12592,49621,11391541.943472,15.256000,0.76,7.8814,6.259513e-04
cit-HepTh,27769,352285,31528431.196295,174.840000,3.54,25.3725,9.137330e-04
citeseer,3264,4536,399409.261127,0.344000,0.13,2.7794,8.517964e-04
cora,2708,5278,851504.958547,0.455000,0.12,3.8981,1.440000e-03
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,10079,2472.286556,0.270000,0.11,20.1580,2.017818e-02
er_1000_sparse,1000,2457,13379.112983,0.177000,0.05,4.9140,4.918919e-03
er_100_dense,100,975,96.730919,0.003000,0.01,19.5000,1.969697e-01
er_100_sparse,100,226,514.882334,0.002000,0.00,4.5200,4.565657e-02
er_10k_dense,10000,49906,77435.961285,17.590000,0.69,9.9812,9.982198e-04
er_10k_sparse,10000,25268,202364.508023,12.291000,0.50,5.0536,5.054105e-04
er_500_dense,500,6063,799.370643,0.147000,0.06,24.2520,4.860120e-02
er_500_sparse,500,1253,4050.327962,0.074000,0.02,5.0120,1.004409e-02
er_5k_dense,5000,37339,22994.623136,5.040000,0.44,14.9356,2.987718e-03
er_5k_sparse,5000,12383,77305.301187,2.680000,0.25,4.9532,9.908382e-04
ba_1k_m3,1000,2991,85722.572137,0.197000,0.05,5.9820,5.987988e-03
ba_1k_m5,1000,4975,62294.766984,0.182000,0.07,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,4044.136483,0.192000,0.07,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,17438.838170,0.171000,0.05,6.0000,6.006006e-03
er_5k_dense,5000,37339,22994.623136,5.030000,0.44,14.9356,2.987718e-03
er_5k_sparse,5000,12383,77305.301187,2.999000,0.25,4.9532,9.908382e-04
er_10k_dense,10000,49906,77435.961285,17.210000,0.69,9.9812,9.982198e-04
er_10k_sparse,10000,25268,202364.508023,10.894000,0.50,5.0536,5.054105e-04
ba_5k_m3,5000,14991,1642913.042626,2.501000,0.27,5.9964,1.199520e-03
ba_5k_m5,5000,24975,1394242.329931,3.743000,0.34,9.9900,1.998400e-03
ba_10k_m3,10000,29991,7801634.417480,14.186000,0.53,5.9982,5.998800e-04
ws_5k_k6_p01,5000,15000,139704.509745,3.139000,0.27,6.0000,1.200240e-03
cit-DBLP,12592,49621,11391541.943472,24.198000,0.76,7.8814,6.259513e-04
cit-HepTh,27769,352285,31528431.196295,282.767000,3.54,25.3725,9.137330e-04
citeseer,3264,4536,399409.261127,0.625000,0.13,2.7794,8.517964e-04
cora,2708,5278,851504.958547,0.741000,0.12,3.8981,1.440000e-03
verify_complete_7,7,21,0.000000,0.000000,0.00,6.0000,1.000000e+00
verify_cycle_6,6,6,2.000000,0.000000,0.00,2.0000,4.000000e-01
verify_known_structure,20,35,99.000000,0.000000,0.00,3.5000,1.842105e-01
verify_path_5,5,4,4.000000,0.000000,0.00,1.6000,4.000000e-01
verify_star_9,9,8,28.000000,0.000000,0.00,1.7778,2.222222e-01
er_1000_dense,1000,9981,2235.215624,0.323000,0.11,19.9620,1.998198e-02
er_1000_sparse,1000,2516,8741.331988,0.230000,0.05,5.0320,5.037037e-03
er_100_dense,100,1038,87.471301,0.004000,0.01,20.7600,2.096970e-01
er_100_sparse,100,236,446.108621,0.003000,0.00,4.7200,4.767677e-02
er_10k_dense,10000,49791,75165.374212,16.377000,0.69,9.9582,9.959196e-04
er_10k_sparse,10000,25140,214457.473714,10.733000,0.50,5.0280,5.028503e-04
er_500_dense,500,6190,787.899933,0.108000,0.06,24.7600,4.961924e-02
er_500_sparse,500,1338,3532.577319,0.054000,0.03,5.3520,1.072545e-02
er_5k_dense,5000,37244,24446.579016,4.586000,0.44,14.8976,2.980116e-03
er_5k_sparse,5000,12675,78321.543021,3.299000,0.25,5.0700,1.014203e-03
ba_1k_m3,1000,2991,96417.055834,0.206000,0.05,5.9820,5.987988e-03
ba_1k_m5,1000,4975,39623.206056,0.233000,0.07,9.9500,9.959960e-03
ws_1k_k10_p03,1000,5000,3992.097530,0.290000,0.07,10.0000,1.001001e-02
ws_1k_k6_p01,1000,3000,17267.680510,0.295000,0.05,6.0000,6.006006e-03
er_5k_dense,5000,37244,24446.579016,5.471000,0.44,14.8976,2.980116e-03
er_5k_sparse,5000,12675,78321.543021,3.397000,0.25,5.0700,1.014203e-03
er_10k_dense,10000,49791,75165.374212,20.878000,0.69,9.9582,9.959196e-04
er_10k_sparse,10000,25140,214457.473714,12.770000,0.50,5.0280,5.028503e-04
ba_5k_m3,5000,14991,1155800.618040,2.938000,0.27,5.9964,1.199520e-03
