Node,Authority
806,0.0117660669
1467,0.0221961381
3182,0.0039474818
3359,0.0070567479
6398,0.0089999215
8769,0.0000000000
8899,0.0030029947
9388,0.0000000000
34,0.0193867081
305,0.0067367323
1194,0.0120472061
3206,0.0216677596
4411,0.0123048434
5050,0.0048031886
5568,0.0101936897
5737,0.0048049585
6982,0.0028021372
8101,0.0077320903
9694,0.0000000000
9735,0.0032815494
9736,0.0000000000
35,0.0192179787
609,0.0099427441
1956,0.0116568508
2941,0.0066302112
3172,0.0045711836
3284,0.0061648634
4113,0.0091333559
4424,0.0154843819
4925,0.0048056264
5576,0.0108793913
6006,0.0085458022
6847,0.0068556318
8264,0.0034252442
36,0.0204420297
535,0.0075362009
781,0.0123777059
1460,0.0027257635
3466,0.0102188652
3966,0.0186150264
4417,0.0082685252
6069,0.0065170316
6307,0.0000000000
7098,0.0025105183
7465,0.0021878544
8057,0.0104147797
9167,0.0000000000
9183,0.0013984535
9267,0.0000000000
37,0.0074593306
239,0.0109181859
3620,0.0018782930
4412,0.0103356917
4529,0.0030070707
6682,0.0042855331
6988,0.0000000000
38,0.0146182220
631,0.0187384089
1072,0.0171193010
1828,0.0203413779
2571,0.0146139538
3330,0.0137873172
3994,0.0181522429
4939,0.0060153073
7002,0.0014366436
7166,0.0014212197
7273,0.0034458654
7344,0.0060424433
9778,0.0000000000
39,0.0080358821
204,0.0047072447
2260,0.0042227258
2913,0.0154542987
3090,0.0041227394
3709,0.0031468001
5323,0.0134538626
7408,0.0035383459
9758,0.0000000000
40,0.0095417392
266,0.0155566192
522,0.0189116110
4256,0.0085881275
4287,0.0174627863
4516,0.0110193883
5491,0.0064456979
6804,0.0053482572
8359,0.0031142787
9057,0.0006914735
41,0.0113689905
2558,0.0111733653
3547,0.0150367619
3790,0.0182424779
3957,0.0108518170
7679,0.0031343233
9468,0.0021191482
42,0.0151217791
1902,0.0104842611
3235,0.0119358881
3595,0.0145498027
4002,0.0104998557
5301,0.0031511020
6567,0.0059133570
6879,0.0060793158
8395,0.0020547607
8583,0.0000000000
8703,0.0013362004
43,0.0030174888
2695,0.0124565499
3307,0.0049943669
5399,0.0088992274
6490,0.0084584554
44,0.0209997614
2758,0.0065139407
3996,0.0124839425
4128,0.0076874547
4926,0.0125809365
4980,0.0186865892
5493,0.0061110753
5658,0.0061160238
6114,0.0072834908
6810,0.0089712330
8218,0.0015071588
8506,0.0015021413
9120,0.0010816871
45,0.0135925949
422,0.0181133648
963,0.0138989055
2474,0.0137727037
3852,0.0024943987
4376,0.0104389019
6169,0.0091641705
6386,0.0180400796
6748,0.0073721948
6894,0.0062692386
7269,0.0023505630
9655,0.0000000000
46,0.0144027509
959,0.0068252999
1441,0.0149851904
2054,0.0240005562
2266,0.0159762989
3374,0.0090283679
3768,0.0062519352
4125,0.0069790295
4760,0.0065479678
6073,0.0120483833
6487,0.0135877678
7726,0.0081147392
7998,0.0031028971
8382,0.0036100265
47,0.0226338967
272,0.0188716860
1904,0.0089112981
3736,0.0191766455
3887,0.0076577147
4282,0.0069045177
4422,0.0044916652
5056,0.0011520100
5197,0.0160796131
5625,0.0042218593
6357,0.0048340541
7215,0.0018819384
8179,0.0026047214
8715,0.0029834077
9174,0.0041662708
48,0.0236330776
1290,0.0033617621
1367,0.0134144264
1423,0.0156446936
3327,0.0093835043
4183,0.0037500463
4690,0.0056690226
5154,0.0036446884
5480,0.0078323267
5881,0.0062042941
6232,0.0084050809
6283,0.0105537513
7685,0.0107352763
7991,0.0055276927
49,0.0100498161
270,0.0109938279
1954,0.0088828727
1981,0.0080376913
2902,0.0060391206
4206,0.0130557592
5163,0.0011003846
6493,0.0042459071
6795,0.0067422336
8886,0.0021531147
50,0.0238464767
705,0.0205986995
3035,0.0089571539
3460,0.0112413445
5874,0.0044813060
6013,0.0031268201
6945,0.0033206037
7455,0.0114789923
8528,0.0000000000
8958,0.0025861392
9209,0.0000000000
9488,0.0000000000
51,0.0191659977
1198,0.0079509079
2238,0.0155220810
3292,0.0178276186
4709,0.0058919274
5646,0.0026678823
6951,0.0045716730
7971,0.0038950455
8470,0.0038014499
8969,0.0017854054
9013,0.0049128362
9189,0.0028970197
52,0.0184263801
708,0.0050208717
978,0.0080773169
1159,0.0076087087
1432,0.0244701650
1731,0.0085010784
3434,0.0110987474
3496,0.0164538100
3783,0.0033846470
5161,0.0111796532
6851,0.0064329057
7284,0.0044306432
7342,0.0087107090
8712,0.0046618648
53,0.0058692234
1018,0.0184864959
2075,0.0137157295
3131,0.0125864795
6305,0.0000000000
7032,0.0094685271
7387,0.0057247166
8014,0.0025853346
54,0.0040181821
1652,0.0087832241
1679,0.0066937777
2142,0.0063579203
2520,0.0081711606
4066,0.0084350521
6149,0.0130308193
55,0.0211602800
2063,0.0162228154
