Node,Authority
2521,0.0000000000
3026,0.0077255255
3047,0.0000000000
3336,0.0128500062
4401,0.0004652394
4884,0.0099585470
60,0.0147060700
1862,0.0073660541
1990,0.0020954560
2556,0.0080351138
2839,0.0063294097
2975,0.0000000000
4721,0.0000000000
61,0.0105647405
1980,0.0184228727
2537,0.0000000000
3366,0.0000000000
3961,0.0000000000
4520,0.0011333145
62,0.0000000000
509,0.0188679684
1199,0.0143947172
63,0.0211342099
1081,0.0092253035
2241,0.0037788996
2278,0.0038273935
3999,0.0000000000
64,0.0276741092
2027,0.0584256051
2455,0.0107288598
2763,0.0000000000
3088,0.0067531528
3868,0.0000000000
3972,0.0000000000
4223,0.0000000000
65,0.0223990827
1256,0.0118437841
2616,0.0095483498
4045,0.0000000000
4406,0.0086063410
4979,0.0000000000
66,0.0238787751
240,0.0062913886
2370,0.0001674340
3126,0.0147022310
4349,0.0000000000
4724,0.0000000000
193,0.0000000000
277,0.0068763812
1108,0.0158781511
2354,0.0340642168
4361,0.0000000000
68,0.0061922407
357,0.0283894649
1370,0.0475725994
1872,0.0064560511
69,0.0101863357
248,0.0092006069
961,0.0047096923
1932,0.0249165064
2001,0.0000000000
2196,0.0045977803
2721,0.0000000000
71,0.0054237904
730,0.0103860273
872,0.0161348618
1763,0.0111871357
72,0.0015661667
745,0.0000000000
1771,0.0084423902
73,0.0079734716
327,0.0232656857
1220,0.0002299451
2381,0.0045860023
2486,0.0165004509
3711,0.0138348190
4047,0.0000000000
74,0.0165916744
1423,0.0158072040
1790,0.0144671283
3152,0.0081002560
4230,0.0000000000
4938,0.0000000000
75,0.0373388429
905,0.0112399100
1111,0.0061469933
1911,0.0029161599
2505,0.0196841816
4012,0.0031508999
4740,0.0000000000
4792,0.0006274797
76,0.0096461205
326,0.0090518140
1674,0.0148104204
2927,0.0174710031
3742,0.0094152424
4140,0.0000000000
4807,0.0000000000
77,0.0111171968
3864,0.0032773010
4180,0.0038017546
4918,0.0000000000
78,0.0067304995
171,0.0131551968
380,0.0315298119
702,0.0146627428
3566,0.0085454068
3723,0.0099016169
79,0.0138341109
305,0.0047020875
800,0.0142945763
1595,0.0123783014
2800,0.0094254521
3108,0.0008382071
3463,0.0280127666
80,0.0070016693
2963,0.0003467670
132,0.0127482819
511,0.0116210804
736,0.0100880852
3084,0.0024261794
4054,0.0068372911
4085,0.0000000000
82,0.0057952570
497,0.0034765849
1173,0.0134865924
1611,0.0103651068
3838,0.0008216487
4612,0.0000000000
83,0.0321364419
735,0.0246700089
859,0.0077415654
3216,0.0000000000
3340,0.0083332259
3750,0.0026057984
3851,0.0062858590
84,0.0000000000
1019,0.0088928849
85,0.0252643312
278,0.0061261408
1470,0.0279848645
1718,0.0112461731
1906,0.0097109868
2437,0.0079124741
3537,0.0000000000
3779,0.0000000000
4131,0.0000000000
4236,0.0000000000
4969,0.0000000000
86,0.0550684545
828,0.0043369441
